season,week,game_id,gameday,home_team,away_team,home_score,away_score,home_team_won,home_point_diff
2018,1,2018_01_ATL_PHI,2018-09-06,PHI,ATL,18.0,12.0,1,6.0
2018,1,2018_01_BUF_BAL,2018-09-09,BAL,BUF,47.0,3.0,1,44.0
2018,1,2018_01_PIT_CLE,2018-09-09,CLE,PIT,21.0,21.0,0,0.0
2018,1,2018_01_CIN_IND,2018-09-09,IND,CIN,23.0,34.0,0,-11.0
2018,1,2018_01_TEN_MIA,2018-09-09,MIA,TEN,27.0,20.0,1,7.0
2018,1,2018_01_SF_MIN,2018-09-09,MIN,SF,24.0,16.0,1,8.0
2018,1,2018_01_HOU_NE,2018-09-09,NE,HOU,27.0,20.0,1,7.0
2018,1,2018_01_TB_NO,2018-09-09,NO,TB,40.0,48.0,0,-8.0
2018,1,2018_01_JAX_NYG,2018-09-09,NYG,JAX,15.0,20.0,0,-5.0
2018,1,2018_01_KC_LAC,2018-09-09,LAC,KC,28.0,38.0,0,-10.0
2018,1,2018_01_WAS_ARI,2018-09-09,ARI,WAS,6.0,24.0,0,-18.0
2018,1,2018_01_DAL_CAR,2018-09-09,CAR,DAL,16.0,8.0,1,8.0
2018,1,2018_01_SEA_DEN,2018-09-09,DEN,SEA,27.0,24.0,1,3.0
2018,1,2018_01_CHI_GB,2018-09-09,GB,CHI,24.0,23.0,1,1.0
2018,1,2018_01_NYJ_DET,2018-09-10,DET,NYJ,17.0,48.0,0,-31.0
2018,1,2018_01_LA_OAK,2018-09-10,OAK,LA,13.0,33.0,0,-20.0
2018,2,2018_02_BAL_CIN,2018-09-13,CIN,BAL,34.0,23.0,1,11.0
2018,2,2018_02_CAR_ATL,2018-09-16,ATL,CAR,31.0,24.0,1,7.0
2018,2,2018_02_LAC_BUF,2018-09-16,BUF,LAC,20.0,31.0,0,-11.0
2018,2,2018_02_MIN_GB,2018-09-16,GB,MIN,29.0,29.0,0,0.0
2018,2,2018_02_CLE_NO,2018-09-16,NO,CLE,21.0,18.0,1,3.0
2018,2,2018_02_MIA_NYJ,2018-09-16,NYJ,MIA,12.0,20.0,0,-8.0
2018,2,2018_02_KC_PIT,2018-09-16,PIT,KC,37.0,42.0,0,-5.0
2018,2,2018_02_PHI_TB,2018-09-16,TB,PHI,27.0,21.0,1,6.0
2018,2,2018_02_HOU_TEN,2018-09-16,TEN,HOU,20.0,17.0,1,3.0
2018,2,2018_02_IND_WAS,2018-09-16,WAS,IND,9.0,21.0,0,-12.0
2018,2,2018_02_ARI_LA,2018-09-16,LA,ARI,34.0,0.0,1,34.0
2018,2,2018_02_DET_SF,2018-09-16,SF,DET,30.0,27.0,1,3.0
2018,2,2018_02_OAK_DEN,2018-09-16,DEN,OAK,20.0,19.0,1,1.0
2018,2,2018_02_NE_JAX,2018-09-16,JAX,NE,31.0,20.0,1,11.0
2018,2,2018_02_NYG_DAL,2018-09-16,DAL,NYG,20.0,13.0,1,7.0
2018,2,2018_02_SEA_CHI,2018-09-17,CHI,SEA,24.0,17.0,1,7.0
2018,3,2018_03_NYJ_CLE,2018-09-20,CLE,NYJ,21.0,17.0,1,4.0
2018,3,2018_03_NO_ATL,2018-09-23,ATL,NO,37.0,43.0,0,-6.0
2018,3,2018_03_DEN_BAL,2018-09-23,BAL,DEN,27.0,14.0,1,13.0
2018,3,2018_03_CIN_CAR,2018-09-23,CAR,CIN,31.0,21.0,1,10.0
2018,3,2018_03_NYG_HOU,2018-09-23,HOU,NYG,22.0,27.0,0,-5.0
2018,3,2018_03_TEN_JAX,2018-09-23,JAX,TEN,6.0,9.0,0,-3.0
2018,3,2018_03_SF_KC,2018-09-23,KC,SF,38.0,27.0,1,11.0
2018,3,2018_03_OAK_MIA,2018-09-23,MIA,OAK,28.0,20.0,1,8.0
2018,3,2018_03_BUF_MIN,2018-09-23,MIN,BUF,6.0,27.0,0,-21.0
2018,3,2018_03_IND_PHI,2018-09-23,PHI,IND,20.0,16.0,1,4.0
2018,3,2018_03_GB_WAS,2018-09-23,WAS,GB,31.0,17.0,1,14.0
2018,3,2018_03_LAC_LA,2018-09-23,LA,LAC,35.0,23.0,1,12.0
2018,3,2018_03_CHI_ARI,2018-09-23,ARI,CHI,14.0,16.0,0,-2.0
2018,3,2018_03_DAL_SEA,2018-09-23,SEA,DAL,24.0,13.0,1,11.0
2018,3,2018_03_NE_DET,2018-09-23,DET,NE,26.0,10.0,1,16.0
2018,3,2018_03_PIT_TB,2018-09-24,TB,PIT,27.0,30.0,0,-3.0
2018,4,2018_04_MIN_LA,2018-09-27,LA,MIN,38.0,31.0,1,7.0
2018,4,2018_04_CIN_ATL,2018-09-30,ATL,CIN,36.0,37.0,0,-1.0
2018,4,2018_04_TB_CHI,2018-09-30,CHI,TB,48.0,10.0,1,38.0
2018,4,2018_04_DET_DAL,2018-09-30,DAL,DET,26.0,24.0,1,2.0
2018,4,2018_04_BUF_GB,2018-09-30,GB,BUF,22.0,0.0,1,22.0
2018,4,2018_04_HOU_IND,2018-09-30,IND,HOU,34.0,37.0,0,-3.0
2018,4,2018_04_NYJ_JAX,2018-09-30,JAX,NYJ,31.0,12.0,1,19.0
2018,4,2018_04_MIA_NE,2018-09-30,NE,MIA,38.0,7.0,1,31.0
2018,4,2018_04_PHI_TEN,2018-09-30,TEN,PHI,26.0,23.0,1,3.0
2018,4,2018_04_SEA_ARI,2018-09-30,ARI,SEA,17.0,20.0,0,-3.0
2018,4,2018_04_CLE_OAK,2018-09-30,OAK,CLE,45.0,42.0,1,3.0
2018,4,2018_04_SF_LAC,2018-09-30,LAC,SF,29.0,27.0,1,2.0
2018,4,2018_04_NO_NYG,2018-09-30,NYG,NO,18.0,33.0,0,-15.0
